102,92,10,6,14,30,19,1,8853,5223,1.71379110217094,4.38857890516607,0.188397411629558,200,-12.432356781308,200,-12.1134380064869,200,-11.7682103609394
149,173,46,19,18,37,4,2,9548,800,4.73899519443512,2.75114753593275,0.327664604783058,200,-5.49159808275914,200,-4.98843258697734,200,-5.7273378429791
68,20,35,12,8,30,13,12,9540,3935,5.49547559022903,4.56843794539136,0.767966336011887,200,-8.26989360656751,200,-7.87250319366001,200,-7.45699293631309
234,122,31,13,18,2,12,19,6838,7666,1.29511794447899,5.20576080831849,0.211931309103966,200,-10.9866895630772,200,-10.6278178917249,200,-10.2396570111517
30,221,41,15,5,1,9,11,7662,28,1.1331696100533,3.06626084108137,0.711497208476067,200,-5.72932053805835,200,-5.44752199018651,200,-5.09285188553643
96,36,36,14,8,27,11,5,4680,40,5.26386415958405,3.18995200293869,0.747269695997238,200,-6.95792539739217,200,-6.85962015767302,200,-6.7504666594296
67,247,38,11,6,44,18,5,7879,1030,1.30766248703003,5.55711668558366,0.131476058065891,200,-8.76925243924222,200,-8.28824404023636,200,-7.73134744698646
151,53,2,6,18,46,19,6,9741,7683,4.36120158433914,4.60593915079169,0.831993749737739,200,-8.55501075219379,200,-8.25792177101992,200,-7.96206853381089
288,59,19,11,10,43,13,1,2114,3051,2.66503876447678,1.86628807290254,0.282968977838755,200,-3.07278388078056,200,-1.77600334715859,200,-0.575494580833955
118,140,46,14,8,13,13,11,3138,2382,3.40137726068497,2.98556884497102,0.103603466786444,200,-8.9732060733807,200,-8.55348164110379,200,-8.0786569600745
164,159,48,13,5,40,14,13,5549,2016,3.74371981620789,3.62343456190575,0.496131604909897,200,-6.74690448038522,200,-6.21842316920639,200,-5.58339029255092
221,227,37,11,13,11,19,15,8253,2208,2.69961303472519,4.14352184781121,0.736625126004219,200,-5.62825724723029,200,-5.49964395150979,200,-5.51077363673997
256,148,28,15,1,23,18,14,4035,3032,2.58832192420959,3.57386073366985,0.417025996744633,200,-8.8334602140666,200,-8.40363159833372,200,-7.93093515559895
30,30,40,19,17,5,8,1,6011,8080,5.48494881391525,4.82446590712582,0.680261766910553,200,-10.688976028902,200,-10.3863894651747,200,-10.0612446046909
94,203,18,17,13,23,10,2,5439,5211,1.39654642343521,5.26739425090685,0.748616790771484,200,-6.79096104166287,200,-6.8259564972524,200,-6.84777087960759
43,155,26,11,18,26,8,16,7690,5480,4.95579218864441,4.46273901668394,0.379780104756355,200,-10.1808673143098,200,-9.90378339617603,200,-9.60798219760684
166,222,31,12,3,10,3,7,5733,2462,5.49270129203796,4.72284413722762,0.490664324164391,200,-7.43390076285353,200,-7.03833609313634,200,-6.58726489672288
145,13,19,18,17,23,17,13,8801,4082,2.03371992707252,4.54137679819361,0.620442739129066,200,-9.81918176755032,200,-9.39784166251921,200,-8.93009685043859
109,203,29,12,3,23,9,4,9165,1006,3.57465183734894,3.20248192398899,0.416747315227985,200,-5.40411918958222,200,-5.84948669712974,200,-6.14505072604328
65,246,46,9,7,39,8,9,4916,7629,1.95455698668957,4.19089348995081,0.703339716792107,200,-5.61119753140045,200,-5.52638310746268,200,-5.49024857439699
188,92,7,5,2,13,9,8,2133,7600,2.75820603966713,4.86190907467832,0.528285703063011,200,-7.2695180908402,200,-7.14723282879747,200,-7.04090251187367
51,121,22,12,13,32,17,4,5405,5612,3.777498960495,5.45468363663169,0.846221527457237,200,-6.69993306824124,200,-6.61276692160885,200,-6.5504227383842
228,171,16,9,15,41,18,3,8737,511,4.7162172794342,2.11310511001202,0.641858837008476,200,-7.86311534621296,200,-7.8392769623509,200,-7.80402720214277
66,48,14,15,12,21,19,2,9499,6483,1.66037587821484,3.95060829443702,0.392777150869369,200,-11.3895339349814,200,-11.0518355619677,200,-10.6824485660566
229,40,42,19,9,41,14,19,9614,4176,3.17035725712776,5.46620640089182,0.790226480364799,200,-9.4217033897019,200,-9.09950317296929,200,-8.78883646043949
117,158,6,19,6,38,13,6,6219,3643,4.21967929601669,4.58054559106615,0.248083262145519,200,-12.1093641808151,200,-11.8067135249956,200,-11.4804355459894
284,81,41,11,19,7,9,6,8792,6642,1.8521656692028,5.7564734407182,0.478833323717117,200,-9.63800826137464,200,-9.31646918007645,200,-8.96813437889159
283,190,10,10,10,32,12,12,9706,3374,2.31234392523766,3.27689545076478,0.332664622366428,200,-9.71353540191454,200,-9.36097460058526,200,-8.97268526277487
130,92,21,5,9,3,4,4,7313,1720,1.47031629830599,4.86016919005946,0.180869987607002,200,-6.05254206022772,200,-5.53791386288346,200,-4.92163398960341
74,36,34,9,8,20,9,11,4236,6481,3.72022515535355,2.91077919791852,0.322750261425972,200,-9.31809498061707,200,-8.99757066380829,200,-8.65131496848506
299,190,11,5,17,36,14,10,7599,6955,4.2552295923233,3.98183465786828,0.619302800297737,200,-8.42563919681465,200,-8.11918782807149,200,-7.78908647400592
